name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,H,neo,pha,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,G,moid,class,n,per,ma
,2.926499927988859,0.07413815298073807,1.6511546546861,187.0681840608779,301.0861295008768,2.709534628629502,3.143465227348216,5.0064626314129,8714.0,0,259,16.4,N,N,,,,,,,,,,,,1.72536,MBA,0.1968707959954148,1828.610476123562,154.1622276042719
,2.759462579621336,0.011978090027785,6.068650595090618,105.8876999775828,266.6607184493438,2.726409488414328,2.792515670828344,4.58400376740016,9840.0,0,217,16.0,N,N,,,,,,,,,,,,1.72762,MBA,0.2150142830110628,1674.307376042909,121.0509031470049
,2.612281179395142,0.280747457582127,13.6523554262674,150.7854177980679,247.7521349156527,1.878889879790316,3.345672478999969,4.22219303017115,8222.0,0,92,16.8,N,N,,,,,,,,,,,,0.93106,MBA,0.2334394179338608,1542.156004270011,168.2925147480038
,2.418809181580389,0.1667626171211554,13.78676814063247,326.5331231902793,282.7929987698535,2.015442232143363,2.822176131017414,3.76192917549104,8031.0,0,559,15.7,N,N,4.567,,0.056,,,,,,,,,1.05297,MBA,0.2620002231272482,1374.044631348101,229.008258438443
,2.326189365631929,0.07387655300896451,7.348490052295987,28.35262439604069,174.8685960102842,2.154338513652933,2.498040217610926,3.54793619684591,9690.0,0,479,16.2,N,N,,,,,,,,,,,,1.15072,MBA,0.2778027080204463,1295.883695897968,117.3146562591876
,2.735525568897911,0.02509098060321455,5.239972528064915,95.1023977058193,126.7558564444504,2.666888549909097,2.804162587886726,4.52448726317144,4274.0,0,105,16.9,N,N,,,,,,,,,,,,1.66004,MBA,0.2178426473625835,1652.568972873369,96.42122529570678
,2.287319168688143,0.1265757555866086,6.496236278976895,175.139261034904,187.5425212818042,1.997800016643708,2.576838320732578,3.45938068773503,7183.0,0,207,17.0,N,N,,,,,,,,,,,,0.994224,MBA,0.2849140850158587,1263.538796195218,225.0815889972587
,3.127916914482594,0.1025362703054808,5.525329083829294,136.1096987659463,308.6196739993496,2.807191980246121,3.448641848719066,5.5321126509418,4568.0,0,148,16.0,N,N,,,,,,,,,,,,1.82764,MBA,0.1781645359661577,2020.604145756493,126.8956003370524
,2.204141764363866,0.04357878743204965,3.522970424032934,31.19013091617262,355.7811015237148,2.10808793894455,2.300195589783182,3.27240831741872,6291.0,0,83,18.3,N,N,,,,,,,,,,,,1.1109,MBA,0.3011929404167451,1195.247137937186,101.7028446790504
,1.184703912743435,0.3004278560248359,3.678576368581056,50.06688459098555,236.4279957706418,0.8287858562136903,1.540621969273179,1.28950472102834,10.0,7,81,24.9,Y,N,,,,,,,,,,,,0.0210631,APO,0.7643448428645936,470.9915993556004,76.89880418194512
